978-7-111-48787-6_2-1|程序员面试笔试宝典  第2版
978-7-111-35546-5_1-1|有限元分析—ANSYS 13.0从入门到实战
978-7-111-40052-3_1-1|内容分发网络
978-7-111-53686-4_1-1|Mastercam X9三维造型与数控加工
978-7-111-41693-7_1-2|M2M通信
978-7-111-32349-5_2-1|五笔字型完全自学手册双色版
978-7-111-37170-0_1-2|ANSYS 13.0与HyperMesh 11.0联合仿真有限元分析
978-7-111-41100-0_1-2|SAS开发经典案例解析
978-7-111-49508-6_6-1|UG NX 10.0曲面设计教程
978-7-111-60318-4_3-1|SolidEdge ST10快速入门教程
978-7-111-58392-9_2-1|ANSYS 17.0有限元分析从入门到精通  第2版
978-7-111-47841-6_3-1|Mastercam X7数控加工教程
978-7-111-56144-6_1-1|FEKO 仿真原理与工程应用
978-7-111-49813-1_1-1|计算机系统设计：片上系统
978-7-111-36244-9_3-1|UG NX 8.0快速入门教程
978-7-111-60274-3_7-1|SolidWorks工程图教程（2017中文版）
978-7-111-52390-1_1-1|Protel 99SE 电路原理图与PCB设计
978-7-111-46402-0_1-1|UG NX 9.0产品设计完全学习手册
978-7-111-59089-7_5-1|AutoCAD 2018实用教程 第5版
978-7-111-46666-6_1-1|Excel办公技巧查询与应用宝典
978-7-111-59096-5_1-1|计算机辅助制造 
978-7-111-59422-2_4-1|SolidWorks 2018三维设计及应用教程
978-7-111-57199-5_1-1|UG NX 11.0钣金设计教程
978-7-111-54732-7_1-1|Cadence 16.6高速电路板设计与仿真
978-7-111-36561-7_3-3|UG NX 8.0曲面设计教程
978-7-111-52147-1_1-1|Internet应用考前冲刺与全真模拟（Windows 7版）
978-7-111-36505-1_1-1|基于dsPIC的无线通信系统设计
978-7-111-46378-8_1-4|VC++就业培训宝典之MFC视频教程（含1DVD）
978-7-111-53184-5_7-3|SOLIDWORKS&reg;零件与装配体教程（2016版）
978-7-111-55513-1_5-1|SolidWorks曲面设计实例精解（2016中文版）
978-7-111-43399-6_1-1|HTML5，CSS3，JavaScript开发手册
978-7-111-56960-2_1-2|多智能体机器学习：强化学习方法
978-7-111-43343-9_3-1|AutoCAD 2014中文版入门 进阶 精通   第3版
978-7-111-47747-1_2-1|金蝶KIS财务软件培训教程 第2版
978-7-111-49528-4_1-1|绝对现场：游戏CG原画设计
978-7-111-39597-3_1-1|Photoshop数码照片处理入门与应用
978-7-111-34147-5_1-2|物联网实验教程
978-7-111-46409-9_1-1|中文版AutoCAD 2014室内装潢从入门到精通（实战案例版）
978-7-111-52314-7_1-1|Word办公应用技巧大全
978-7-111-54571-2_1-1|ANSYS Workbench 16.0理论解析与工程应用实例
978-7-111-39084-8_1-1|ANSYS 13.0流场分析技术及应用实例
978-7-111-33665-5_1-2|Photoshop CS4图形图像处理实例教程
978-7-111-57073-8_1-1|深度学习与R语言
978-7-111-34315-8_2-1|Dreamweaver CS5中文版标准实例教程
978-7-111-50171-8_1-4|散度、旋度、梯度释义（图解版）
978-7-111-39879-0_1-3|程序员面试笔试宝典
978-7-111-49191-0_4-1|CATIA V5-6 R2014模具设计教程
978-7-111-43937-0_1-1|AutoCAD 2014机械设计全套图纸绘制大全
978-7-111-47563-7_3-1|Creo 3.0钣金设计实例精解
978-7-111-48725-8_1-1|IPv6部署和管理
978-7-111-54543-9_1-1|Android游戏开发从入门到精通
978-7-111-55826-2_1-3|Revit2016/2017参数化从入门到精通
978-7-111-39535-5_1-6|HyperMesh&HyperView应用技巧与高级实例
978-7-111-48236-9_2-2|欧姆龙CP1H PLC应用基础与编程实践 第2版
978-7-111-53760-1_2-1|PhotoShop CS6中文版图像处理完全自学手册（第2版）
978-7-111-59317-1_1-1|智能信息融合与目标识别方法
978-7-111-49532-1_4-1|UG NX 10.0工程图教程
978-7-111-55601-5_4-1|Pro/ENGINEER中文野火版5.0曲面设计实例精解（增值版）
978-7-111-39913-1_1-1|SAP计划与合并完全解决方案
978-7-111-57777-5_1-1|虚拟化技术实践指南——面向中小企业的高效、低成本解决方案
978-7-111-34314-1_2-1|SolidWorks 2013中文版标准实例教程
978-7-111-39494-5_2-1|CATIA V5R20曲面设计教程
978-7-111-33316-6_1-1|零点起步——嵌入式Linux编程入门与开发实例
978-7-111-42733-9_1-1|SolidEdge ST4工程图教程
978-7-111-61011-3_1-1|Java服务端研发知识图谱
978-7-111-32446-1_1-1|Excel 2010 实用技巧集锦（720招）
978-7-111-46826-4_1-2|AutoCAD 2015完全自学手册
978-7-111-51399-5_1-1|大道至简——C++ STL(标准模板库）精解
978-7-111-40934-2_2-2|IllustratorCS6中文版标准实例教程
978-7-111-37390-2_1-1|终端安全风险管理
978-7-111-41839-9_1-1|Creo 2.0中文版完全自学手册
978-7-111-44446-6_3-1|Pro/ENGINEER中文野火版5.0产品设计实例精解（修订版）
978-7-111-51937-9_1-1|Creo Parametric 3.0中文版新手从入门到精通
978-7-111-52170-9_2-1|AutoCAD 2016电气设计从入门到精通    第2版
978-7-111-47083-0_2-1|Solidworks2014中文版从入门到精通
978-7-111-39607-9_1-1|Android开发完全实战宝典
978-7-111-42352-2_1-1|MATLAB数字图像处理实战
978-7-111-59294-5_1-1|软件品质之完美管理——实战经典
978-7-111-44362-9_2-1|Pro/ENGINEER中文野火版5.0模具设计实例精解（修订版）
978-7-111-59660-8_1-1|Polyflow软件基础及其在双螺杆挤出仿真过程中的应用
978-7-111-43139-8_1-1|绿色网络
978-7-111-58396-7_1-1|数字信号处理及其应用
978-7-111-44444-2_3-1|CATIA V5R20曲面设计教程（修订版）
978-7-111-45079-5_1-3|CAXA 2013电子图板从入门到精通
978-7-111-41461-2_2-2|Creo 2.0曲面设计教程
978-7-111-56714-1_2-1|SolidWorks 2016高级应用教程 第2版
978-7-111-56871-1_1-1|VoLTE优化达人修炼之道
978-7-111-48728-9_6-3|UG NX 8.0快速入门教程（典藏版）
978-7-111-44976-8_1-1|物联网的开发与应用实践
978-7-111-51045-1_1-1|新工业革命：UG NX综合建模与3D打印
978-7-111-47079-3_3-1|UG NX9.0中文版快速入门实例教程
978-7-111-43877-9_1-1|声学成像技术及工程应用
978-7-111-55693-0_4-1|Pro/ENGINEER中文野火版5.0数控加工教程（增值版） 
978-7-111-47915-4_1-2|ANSYS 15.0有限元分析从入门到精通
978-7-111-37937-9_1-1|Java编程新手自学手册
978-7-111-59004-0_1-1|物联网通信安全及解决方案
978-7-111-44410-7_3-1|Pro/ENGINEER中文野火版5.0数控加工教程（修订版） 
978-7-111-50581-5_1-1|小设计大思维– 移动应用界面的设计方法与实践
978-7-111-44420-6_1-1|透析C4D-5DS影视包装实例综合篇
978-7-111-41589-3_2-1|Creo 2.0钣金设计实例精解
978-7-111-52902-6_1-2|Excel办公应用技巧大全
978-7-111-39560-7_1-1|零基础学AutoCAD2012电气制图工程应用
978-7-111-43756-7_3-1|CATIA V5R20数控加工教程（修订版）
978-7-111-47284-1_3-1|Creo 3.0产品设计实例精解
978-7-111-54459-3_1-1|智能传感器：医疗、健康和环境的关键应用
978-7-111-57191-9_1-1|高效能人士的Excel财务管理300招
978-7-111-41429-2_1-1|24小时零基础过关——PowerPoint 2003中文演示文稿一本通
978-7-111-47741-9_1-1|移动云计算：无线、移动及社交网络中分布式资源的开发利用
978-7-111-47130-1_3-1|Creo 3.0高级应用教程
978-7-111-51608-8_7-1|UG NX 10.0模具设计实例精解
978-7-111-55004-4_2-1|SOLIDWORKS&reg;Enterprise PDM管理教程(2016版)
978-7-111-57759-1_1-1|Abaqus GUI 工具包用户手册
978-7-111-60062-6_1-1|智能化未来:“暴力计算”开创的奇迹
978-7-111-49469-0_8-3|UG NX 10.0数控加工教程
978-7-111-58156-7_3-1|Creo 4.0运动仿真与分析教程
978-7-111-48872-9_3-1|AutoCAD2015中文版机械设计实例教程
978-7-111-58810-8_1-1|新编Android应用开发从入门到精通
978-7-111-50343-9_1-1|Lightroom完美行摄旅图
978-7-111-52840-1_1-1|单片机原理及应用
978-7-111-57500-9_2-1|机器智能：人工情感
978-7-111-40462-0_1-1|OptiStruct&HyperStudy理论基础与工程应用
978-7-111-58370-7_1-1|SolidEdge ST10中文版标准教程
978-7-111-54283-4_1-1|更赞的UI：Photoshop热门APP类型设计从入门到精通
978-7-111-51226-4_4-1|AutoCAD 2016中文版入门 进阶 精通  第4版
978-7-111-57267-1_2-1|机器智能：人工心理
978-7-111-40456-9_1-1|AutoCAD 2013室内装潢设计入门与应用
978-7-111-46827-1_1-1|UG NX 9.0模具设计完全学习手册
978-7-111-47722-8_1-1|大型园区网络建设与管理
978-7-111-44660-6_4-1|CATIA V5R20曲面设计实例精解（修订版）
978-7-111-32360-0_1-3|AutoCAD电气设计快速入门与提高
978-7-111-48752-4_5-3|UG NX 8.0模具设计教程（典藏版）
978-7-111-51231-8_1-1|物联网组成原理
978-7-111-49787-5_1-3|最新黑客攻防从入门到精通
978-7-111-42337-9_1-1|ZBrush+3ds Max 次世代游戏制作大揭秘
978-7-111-53301-6_1-1|更赞的UI：Photoshop创意APP元素设计从入门到精通
978-7-111-57192-6_1-1|高效能人士的Word/Excel行政文秘300招
978-7-111-51157-1_2-1|SAMCEF 有限元分析与应用实例   第2版
978-7-111-31542-1_1-2|用友ERP-U8财务管理入门与实战体验
978-7-111-53688-8_1-1|数字图像处理技术及应用
978-7-111-40722-5_1-1|TinyOS实用编程——面向无线传感网节点软件开发
978-7-111-52860-9_1-1|Spark核心源码分析与开发实战
978-7-111-40654-9_2-1|Photoshop平面设计入门与应用
978-7-111-55124-9_2-1|物联网关键技术及系统应用 第2版
978-7-111-48652-7_1-2|ABAQUS 6.12有限元分析从入门到精通
978-7-111-53699-4_2-1|钣金展开实用技术手册（SolidWorks 2016版）
978-7-111-49028-9_4-1|CATIA V5-6 R2014工程图教程
978-7-111-37555-5_1-3|SAP BW/BO实战指南—像学习Office一样学习BW/BO
978-7-111-42051-4_1-1|网络性能分析原理与应用
978-7-111-52116-7_1-1|信息系统项目管理师考试论文通关宝典
978-7-111-44110-6_1-1|物流公共信息平台建设与运营模式
978-7-111-48722-7_1-1|CATIA V5 R21 运动分析教程
978-7-111-61212-4_1-1|Kotlin程序员面试算法宝典
978-7-111-33881-9_1-1|实时数字信号处理——基于TMS320c6x DSK平台的Matlab到C
978-7-111-55365-6_1-1|solidThinking Evolve工业设计基础与工程应用
978-7-111-43496-2_1-1|Hadoop云计算一体机实践指南
978-7-111-53937-7_2-1|SOLIDWORKS&reg;PDM使用教程(2016版）
978-7-111-42476-5_3-8|Pro/ENGINEER中文野火版5.0快速入门教程(修订版)
978-7-111-47285-8_3-1|Creo 3.0模具设计教程
978-7-111-58316-5_1-1|电脑组装与维修实战
978-7-111-35382-9_4-2|AutoCAD 2012中文版机械设计基础与实战（第4版）
978-7-111-41487-2_5-9|UG NX 8.5快速入门教程
978-7-111-48809-5_6-1|UG NX 8.0钣金设计教程（典藏版）
978-7-111-29822-9_1-4|PCI Express 体系结构导读
978-7-111-48550-6_2-2|Photoshop CC中文版从入门到精通（第2版）
978-7-111-46858-5_3-1|Excel 函数 公式查询与应用宝典（第3版）
978-7-111-48374-8_1-1|UG NX 8.5 注射模具设计实例精讲
978-7-111-52904-0_1-1|GPU与MATLAB混合编程
978-7-111-56312-9_8-2|UG NX 11.0数控加工实例精解
978-7-111-51509-8_1-1|Java代码与架构之完美优化——实战经典
978-7-111-56938-1_2-1|软件研发成本度量规范释义 第2版
978-7-111-44545-6_3-1|CATIA V5R20产品设计实例精解（修订版）
978-7-111-55987-0_1-1|微型计算机原理及应用
978-7-111-57722-5_1-1|社交大数据挖掘
978-7-111-46519-5_1-1|UG NX 9.0基础教程
978-7-111-34905-1_1-1|AutoCAD建筑设计与天正TArch工程项目实战
978-7-111-58259-5_1-1|高效能人士的Word办公秘技300招
978-7-111-60403-7_3-1|信息系统项目管理师考试论文通关宝典 第3版
978-7-111-39186-9_1-2|UG NX 8.0宝典
978-7-111-51961-4_2-1|PHP+MySQL+Dreamweaver动态网站开发从入门到精通 第2版
978-7-111-42163-4_1-1|新编控制系统MATLAB仿真实训
978-7-111-54108-0_4-1|中文版UG NX10快速入门教程
978-7-111-59625-7_1-1|中文版SolidWorks 2018从入门到精通
978-7-111-41460-5_2-1|Creo 2.0曲面设计实例精解
978-7-111-42475-8_5-1|SolidWorks工程图教程（2013中文版）
978-7-111-52027-6_1-1|UG NX 10.0中文版新手从入门到精通
978-7-111-49829-2_3-3|UG NX 10.0完全自学手册  第3版
978-7-111-48839-2_1-1|经典实例学设计——AutoCAD 2015建筑设计与制图
978-7-111-58431-5_1-2|Excel数据管理：不加班的秘密
978-7-111-45034-4_1-4|Excel 2007中文电子表格考前冲刺与全真模拟（新大纲专用）
978-7-111-47123-3_1-1|Fluent14.5流场分析从入门到精通
978-7-111-33324-1_3-7|UG NX 7.0 数控加工教程
978-7-111-47370-1_3-1|UG NX 9 中文版曲面设计从入门到精通
978-7-111-60090-9_1-1|Web前端学习笔记：HTML5+CSS3+JavaScript
978-7-111-52906-4_1-6|深度学习：方法及应用
978-7-111-58177-2_1-1|SAP Web Dynpro For JAVA开发技术详解
978-7-111-49029-6_5-1|UG NX 8.0产品设计实例精解（典藏版）
978-7-111-41903-7_3-1|SolidWorks高级应用教程（2013中文版）
978-7-111-36061-2_1-1|AutoCAD室内装潢设计与工程项目实战
978-7-111-51990-4_6-1|AutoCAD机械设计实例精解（2016中文版）   
978-7-111-40129-2_1-1|24小时零基础过关——Excel 2003中文电子表格一本通
978-7-111-42015-6_1-1|AutoCAD 2013中文版机械设计实例教程
